genre,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
R,0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.121342,0.0517397623,90.241,0.0340178672
R,0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.1132607212,0.0321767642,53.758,0.035631561
R,0.9816573443,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,91.912,0.0343252564
R,0.989141175,0.2259775281,0.7228348527,0.2630762793,0.0923705318,0.0534063523,94.322,0.0283472078
R,0.8866597102,0.2985183025,0.7443325625,0.9209504901,0.1395870184,0.0887810414,97.88,0.0735475474
R,0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0870359278,0.0640938189,125.645,0.1505991359
R,0.8155489042,0.1441250712,0.8927211866,0.9004301244,0.1047034668,0.1022936576,138.68,0.0349164186
R,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.552,0.254299214
R,0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.1989439803,0.4626074726,70.887,0.0482427328
R,0.9939276168,0.3100899771,0.9524931303,0.2743114791,0.3542305191,0.8257439071,69.413,0.0334023117
R,0.8335160135,0.2065092789,0.779140487,0.9408410856,0.3723113985,0.0772271448,123.583,0.0281438157
R,0.7542752993,0.2091129065,0.5799592774,0.7368654346,0.1121648933,0.0733502023,95.932,0.0833302608
R,0.9955533218,0.1861459299,0.4130542364,0.9551374475,0.1117162764,0.040892505,61.316,0.252819344
R,0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.5465156876,0.1853163118,84.173,0.0332076001
R,0.1325832964,0.5411565335,0.7572551846,0.8826174388,0.0994326594,0.0292159697,144.808,0.7335055159
R,0.0167591241,0.3619554496,0.8723790415,0.922775365,0.15177309,0.03860093,146.546,0.5326324643
R,0.9933968022,0.4419715548,0.4848943949,0.938292699,0.0928928461,0.0449218687,133.196,0.6382050743
R,0.9797552518,0.3717837511,0.5234081405,0.9688381615,0.1094469618,0.0703791312,168.606,0.3771696974
R,0.9931880002,0.7101448519,0.2506732431,0.9463424718,0.1059124645,0.0364616413,111.228,0.4905165083
R,0.9873281737,0.7035909913,0.4357120518,0.9017230301,0.1137581203,0.0676240084,122.811,0.9108207732
R,0.4302465419,0.2620499343,0.9720856699,0.8966929619,0.4073435898,0.151244955,118.281,0.0617962599
R,0.3570855747,0.1893451584,0.9397064969,0.9456612187,0.1468501128,0.0640669936,83.959,0.2022597185
R,0.0614753069,0.2876325615,0.9386526141,0.8752996372,0.1165203541,0.0906159476,119.803,0.1425962452
R,0.9229070257,0.4408680304,0.2434517278,0.8597139689,0.1147383417,0.3378157945,129.598,0.5770688544
R,0.8656867699,0.2788749499,0.0669245556,0.9149633131,0.1115463316,0.0341102691,143.114,0.074577945
R,0.7642476101,0.7331117168,0.0794868304,0.9354613429,0.111640631,0.042528775,108.131,0.1079464553
R,0.9679604945,0.3043261534,0.3425785835,0.7606700274,0.111136368,0.0444210503,142.342,0.0985764972
R,0.7737696606,0.5520261656,0.2513276736,0.5689758335,0.1107430793,0.0506325527,117.247,0.3569842466
R,0.881460625,0.4743341489,0.0350171505,0.9309336375,0.1047437663,0.0337121522,92.951,0.3192393982
R,0.3354814295,0.3902630916,0.0210673625,0.9375081467,0.0890456969,0.0414906452,60.382,0.0399321212
R,0.8079393952,0.5854778619,0.4245642816,0.8904640175,0.110307525,0.0391659925,142.579,0.2051829532
R,0.5666584153,0.6690948047,0.0575404526,0.1213279874,0.1062701681,0.0513554685,188.94,0.6943441968
R,0.9903200573,0.3620137829,0.4860880871,0.8482693407,0.0939208446,0.5671853131,91.32,0.3769774443
R,0.97720379,0.7488810231,0.1312602862,0.7658816688,0.1123659877,0.1340369193,101.106,0.5215820055
R,0.0781233043,0.7247998644,0.4309547519,0.0164872769,0.0708293033,0.0328616557,89.032,0.8506392186
R,0.4764016998,0.4430167134,0.1683930193,0.9096679701,0.1500001484,0.0564209944,107.08,0.5096621292
R,0.7971096734,0.4839170861,0.061000622,0.5976705772,0.1103475714,0.1910664132,103.859,0.2525714531
R,0.968785317,0.3987545091,0.3337205089,0.9306147173,0.2772027491,0.0400438008,112.977,0.2408233784
R,0.6051765354,0.452892782,0.259907492,0.9652117881,0.0993548237,0.075779772,78.172,0.517176346
R,0.890498485,0.3164130813,0.0596131071,0.9133028781,0.1088080258,0.0387785138,133.934,0.1224173219
R,0.8644036436,0.6928453265,0.1165388521,0.7517062673,0.1070393409,0.1236913826,126.665,0.3398685308
R,0.897593404,0.2547157554,0.2716163948,0.9586166184,0.0804039563,0.0325248017,147.547,0.1783694552
R,0.8004765473,0.4342176429,0.183197095,0.9392859408,0.1225038362,0.0787960323,143.529,0.146380735
R,0.9738249915,0.3350584873,0.1258033776,0.9223461572,0.1105173637,0.0335835578,73.895,0.1438152772
R,0.9672503126,0.5768811269,0.3434554245,0.9634766727,0.112806981,0.1054277397,111.988,0.4347772115
R,0.9279495207,0.517065201,0.1289927395,0.9014819652,0.240380101,0.3963329322,114.819,0.4842236604
R,0.9333321724,0.6141929632,0.7112310951,0.8447467308,0.1543999131,0.5798972039,197.924,0.3809198059
R,0.9281708889,0.5530911896,0.3039368772,0.9542303232,0.1107517419,0.1074009854,110.039,0.6163680635
R,0.2975406462,0.6249534283,0.1768836222,0.8158711569,0.0928226301,0.0551486222,114.858,0.5036354927
R,0.8494241895,0.6947840274,0.2547169323,0.9581455137,0.1119720283,0.1139688424,85.471,0.5949017447
R,0.9936330021,0.47495815,0.5908228338,0.90078984,0.1396605534,0.2288491592,101.637,0.2812481638
R,0.955110164,0.5169835966,0.1136564697,1.284e-06,0.2087050381,0.7131848769,92.49,0.3895606555
R,0.9452163221,0.214346058,0.6419754173,0.9660182998,0.1110564782,0.0497727984,149.17,0.1870659257
R,0.7657886575,0.6351690515,0.2122345242,0.8605564634,0.0854054974,0.0378685886,111.807,0.3782501032
R,0.9363693247,0.5618753923,0.1422503769,0.5554748149,0.1115121356,0.0772406843,124.808,0.4708601967
R,0.8674526408,0.4619187079,0.4142781931,0.0148394587,0.2625170305,0.0957348647,87.092,0.6857585992
R,0.9845692599,0.4600573448,0.0436136523,0.2380050133,0.1029931791,0.0397912552,118.805,0.3161046811
R,0.9904914909,0.452569356,0.0983624348,0.5763007833,0.116476751,0.0646204003,126.267,0.6096973499
R,0.9479957866,0.6014608135,0.1412970819,0.9124040106,0.1091576349,0.0416562971,147.178,0.4837947392
R,0.977281533,0.4688077411,0.134975265,0.687699751,0.1053807374,0.0731240339,119.646,0.4307074319
R,0.0208577087,0.1445689726,0.1010612372,0.3337912314,0.1429945491,0.0413287533,159.15,0.2377565571
R,0.5486661313,0.4570068421,0.181635435,8.0627e-06,0.1303319789,0.1121453638,124.648,0.2591472334
R,0.9767103587,0.5361508955,0.3306331562,0.8677543965,0.1192332245,0.2321736147,127.505,0.38016437
R,0.9323145921,0.3408658801,0.2070934767,0.9274021819,0.1114197921,0.1779467526,82.642,0.4443500783
R,0.9467052253,0.7303981651,0.0648847155,0.9449288108,0.1110939217,0.0580812118,117.636,0.5947765795
R,0.7346685396,0.724324644,0.3483298215,0.9583185193,0.1216797671,0.4130827657,134.024,0.9299178603
R,0.0030567422,0.446686367,0.2906038763,0.8116355995,0.0671584089,0.0472485617,120.348,0.0392282186
R,0.9896635152,0.463938455,0.3636116429,0.9190113762,0.1187396411,0.0376218451,99.384,0.5910034847
R,0.8591577208,0.8280920198,0.0893881921,0.9278832236,0.1089462728,0.4172201908,126.787,0.6803529479
R,0.9901322166,0.5298784857,0.1981746414,0.949358547,0.1336387826,0.0256587222,61.177,0.4432219238
R,0.982075791,0.7846954695,0.1128294064,0.388359648,0.1124419663,0.0780008377,126.286,0.7290402207
